#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize" name="popSize">1.0</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="OmegaPrior" name="distribution">
#            <parameter id="m0.omega" name="x">1.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">-3.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior" name="distribution">
#            <parameter id="m0.kappa" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M">3.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior" name="distribution" x="@popSize">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@tree">
#            <data data="@alignment" dataType="codon" geneticCode="vertebrateMitochondrial" id="codon.alignment" spec="beast.evolution.alignment.CodonAlignment"/>
#            <siteModel gammaCategoryCount="1" id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="m0" kappa="@m0.kappa" omega="@m0.omega" spec="codonmodels.M0Model">
#                    <frequencies data="@codon.alignment" estimate="false" id="m0.freqs" spec="codonmodels.CodonFrequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.m0" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter id="clockRate" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	coalescent	popSize	m0.kappa	m0.omega	clockRate
0	-2217.534469349064	-2209.7832281584956	-7.7512411905683	-0.19102746319186104	1.0	2.0	1.0	1.0
2000	-1967.027823562203	-1966.237222472863	-0.7906010893398123	2.2486994550641226	0.5020641390721224	11.571270180582374	0.1884780613718387	1.0
4000	-1955.81015677881	-1957.0792169048973	1.2690601260872572	3.5285686072900906	0.30612434524989285	16.23141413606969	0.13846275419714552	1.0
6000	-1952.1075307644523	-1952.5356667726596	0.4281360082073703	2.2985965309668535	0.45170227678929564	15.256205017031862	0.08534149411819128	1.0
8000	-1955.975784488655	-1955.8069107657402	-0.16887372291491776	2.0258264568440287	0.4506864299896036	19.060048829631942	0.09361656281934566	1.0
10000	-1949.7874943700895	-1952.8785441885773	3.0910498184878787	3.9681219661559384	0.2549775155691529	13.880642927710769	0.06477364747277531	1.0
12000	-1948.983384382818	-1952.197018653061	3.213634270243002	4.1662283634612685	0.1780631572072217	18.018235954641863	0.07711999714735826	1.0
14000	-1950.3147671350446	-1953.8412171451878	3.52645001014319	3.837224323590222	0.16585724394514662	15.19599481717337	0.05369043399751258	1.0
16000	-1954.7415000144904	-1957.2023036517048	2.4608036372144193	2.2074004363805226	0.08870409969930995	12.534786754466557	0.06477002592728981	1.0
18000	-1950.5689158098016	-1952.9876746430998	2.418758833298142	2.951995722513705	0.09152795196514481	21.114942675244386	0.08267081789951755	1.0
20000	-1959.2376649259095	-1961.2979444076875	2.060279481777983	3.2492634393394604	0.11733641394922913	19.912980700135744	0.11460208713729793	1.0
22000	-1954.1024853674633	-1957.4468424393306	3.3443570718674174	4.57763770252065	0.1671776737646523	11.9619056117883	0.1233077080951047	1.0
24000	-1952.514110789234	-1956.744313110334	4.230202321099812	4.250757925671904	0.1365909824821315	11.576096296352178	0.0591083037186128	1.0
26000	-1952.6138992229128	-1956.9083405251047	4.294441302191841	4.351279664020596	0.10670855401833414	8.850441141593008	0.08427251578988977	1.0
28000	-1951.3732151491222	-1956.1797743180207	4.806559168898451	4.614967400141332	0.09025569914244685	16.796755901431883	0.0547512153678156	1.0
30000	-1951.516418171074	-1953.6379302321964	2.1215120611223846	3.565272508564215	0.2604907249300387	19.089467613007116	0.0805268158080014	1.0
32000	-1948.2503702806184	-1952.447823645066	4.1974533644474565	4.602014285905855	0.0947196330659583	18.129822411065042	0.08185596736400391	1.0
