#Linear sampling time :
4	893	497	508	526	481	483	500	512	521	484	515	505	522	584	538	510	505	524	494	528	520	520	524	509	521	517	532	518	524	509	551	499	506	514	460	503	498	533	521	518	493	516	490	497	489	524	530	506	494	577	26043
21	659	649	654	645	647	656	648	667	648	632	642	638	638	627	651	641	649	649	644	658	644	654	651	655	637	648	641	655	646	651	652	650	641	649	630	642	644	651	649	660	657	626	635	637	658	662	655	649	642	638	58394
40	748	744	755	763	762	750	777	753	773	753	735	770	739	763	770	777	804	809	781	771	758	773	754	751	747	747	761	752	754	750	754	757	769	760	753	752	783	780	765	752	764	749	751	744	740	783	753	775	748	761	96431
60	828	842	828	851	876	829	839	862	847	868	839	855	839	864	834	867	863	865	883	869	858	843	841	869	872	858	869	842	836	842	829	841	837	860	833	877	877	901	862	863	838	877	869	857	881	860	870	883	864	870	139258
80	946	963	969	937	945	951	951	955	931	939	920	952	961	956	970	971	941	950	945	953	983	981	964	982	960	1016	968	958	943	971	945	959	922	992	1007	1028	1036	973	932	964	952	950	988	984	974	979	959	941	978	1011	187464
100	1082	1099	1162	1033	1061	1057	1032	1017	1019	1036	1082	1046	1026	1052	1061	1035	1032	1050	1056	1055	1042	1063	1061	1050	1058	1042	1020	1079	1039	1059	1116	1105	1089	1076	1061	1096	1056	1077	1089	1066	1076	1067	1098	1029	1061	1038	1093	1154	1114	1057	240688
128	1181	1187	1184	1169	1217	1230	1163	1196	1230	1240	1280	1226	1222	1219	1162	1191	1193	1187	1167	1207	1217	1183	1199	1198	1180	1199	1158	1192	1128	1186	1201	1159	1203	1184	1193	1209	1193	1190	1183	1193	1181	1179	1202	1193	1230	1203	1189	1141	1177	1201	300383
256	1738	1786	1800	1736	1779	1795	1818	1749	1780	1744	1787	1828	1768	1758	1762	1821	1801	1714	1733	1778	1770	1778	1725	1782	1781	1758	1757	1769	1824	1768	1813	1776	1808	1820	1760	1713	1828	1777	1788	1795	1742	1777	1811	1746	1761	1787	1740	1797	1742	1773	389124
